"Group_Name","location","plot_id","average_distance","variation_in_distance","num_crabs"
"Blue Smurfs","Sun","1",1.01308210693853,1.01308210693853,40
"Blue Smurfs","Sun","2",0.938834646436513,0.938834646436513,24
"Blue Smurfs","Sun","3",0.938106436861148,0.938106436861148,23
"Blue Smurfs","Sun","4",0.964413500203251,0.964413500203251,27
"Blue Smurfs","Sun","5",1.12093361152801,1.12093361152801,27
"Blue","Shade","1",0.954185861064872,0.954185861064872,10
"Blue","Shade","2",1.14928483370884,1.14928483370884,6
"Blue","Shade","3",1.11321852697247,1.11321852697247,10
"Blue","Shade","4",0.862215026961545,0.862215026961545,7
"Blue","Shade","5",1.25019493885965,1.25019493885965,3
"Group One","Sun","PLOT 1",1.14018493393621,1.14018493393621,6
"Group One","Sun","PLOT2",0.975886086970158,0.975886086970158,14
"Group One","Sun","PLOT 3",1.17552522072054,1.17552522072054,9
"Group One","Shade","PLOT 1",1.08168676904582,1.08168676904582,8
"Group One","Shade","PLOT2",1.14232978489053,1.14232978489053,7
"Group One","Shade","PLOT 3",0.946123692080709,0.946123692080709,3
"Yellow-GHKAAC","Shade","1",1.04131813239919,1.04131813239919,18
"Yellow-GHKAAC","Shade","4",1.0447572834795,1.0447572834795,10
"Yellow-GHKAAC","Sun","2",1.00529108778529,1.00529108778529,17
