DateTime,group_name,Latitude,Longitude,Distance_along_tape,Dune_position,Active_burrows,Inactive_burrows,Burrows_2cm_across,First_burrow_cm,Nearest_Neighbour_cm,Number_of_trees,Number_of_ground_plants,Coastal_Banksia,Red_Ash,Coastal_Canthium,Native_Cherry,Coastal_Screw_Pine,Coastal_Wattle,Coastal_She_oak,Black_Wattle,Twiggy_Homoranthus,Mangrove_Boobialla,Angular_Pigface,Coast_Headland_Pea,Beach_Morning_Glory,Beach_Primrose,Beach_Sawthistle,Beach_Couch,Beach_Spinifex,Blady_Grass,Blue_Flax_Lily,Coastal_Jack_Bean,Coastal_Lovegrass,Devils_Twine,Dune_Oxalis,Emilia,Everlasting_Daisy,Hillside_Burrgrass,Marine_Couch,Mossman_River_Grass,Native_Cobblers_Pegs,Scented_Fan_Flower,Snake_Vine,Tape_Vine,Yellow_Beach_Bean,Living_ground_cover,Second_NN_cm,Third_NN cm,Fourth_NN_cm,Fifth_NN_cm,Sixth_NN_cm,Seventh_NN_cm,Proportion_of_large_holes
27/06/2013 9:37,blue mr crabs,-25.59816667,153.09507,5,Crest,0,11,11,34,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36.5,55,78.5,NA,NA,NA,1
27/06/2013 9:42,blue mr crabs,-25.59815333,153.0949983,10,Crest,2,1,0,28,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26.5,35,15,NA,NA,NA,0
27/06/2013 9:45,blue mr crabs,-25.59813333,153.0949633,15,Upslope,1,0,0,58,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,25,24,11,31,NA,NA,NA,0
27/06/2013 9:54,blue mr crabs,-25.598155,153.0949133,20,Crest,10,1,1,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,16,21,33,NA,NA,NA,0.090909091
27/06/2013 9:57,blue mr crabs,-25.59809833,153.094875,25,Crest,4,2,1,4,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,27,37,NA,NA,NA,0.166666667
27/06/2013 10:02,blue mr crabs,-25.59809833,153.0948267,30,Upslope,5,3,0,8,51,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,58,84,NA,NA,NA,0
27/06/2013 10:07,blue mr crabs,-25.59808,153.09478,35,Crest,3,0,1,13,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,23,61,25,NA,NA,NA,0.333333333
27/06/2013 10:13,blue mr crabs,-25.59807833,153.0947417,40,Downslope,5,0,1,28,25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,35.5,55,NA,NA,NA,0.2
27/06/2013 10:17,blue mr crabs,-25.59808333,153.0946867,45,Trough,2,0,2,13,78,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,20,47,147,NA,NA,NA,1
27/06/2013 10:22,blue mr crabs,-25.59806167,153.0946217,50,Trough,2,1,0,84,73,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,85,71,18,NA,NA,NA,0
